Close,Volume,Open,High,Low
$172.17,86709150,$172.89,$174.14,$171.03
$172,96903960,$172.7,$175.3,$171.64
$174.92,94537600,$179.61,$180.17,$174.64
$179.7,99310440,$182.63,$182.94,$179.12
$182.01,104701200,$177.83,$182.88,$177.71
$177.57,64062260,$178.085,$179.23,$177.26
$178.2,59773010,$179.47,$180.57,$178.09
$179.38,62348930,$179.33,$180.63,$178.14
$179.29,79144340,$180.16,$181.33,$178.53
$180.33,74919580,$177.085,$180.42,$177.07
$176.28,68356570,$175.85,$176.8499,$175.27
$175.64,92135300,$173.04,$175.86,$172.15
$172.99,91185910,$171.555,$173.2,$169.12
$169.75,107499100,$168.28,$170.58,$167.46
$171.14,195923400,$169.93,$173.47,$169.69
$172.26,150185800,$179.28,$181.14,$170.75
$179.3,131063300,$175.11,$179.5,$172.3108
$174.33,139380400,$175.25,$177.74,$172.21
$175.74,153237000,$181.115,$182.13,$175.53
$179.45,115402700,$175.205,$179.63,$174.69
$174.56,108923700,$174.91,$176.75,$173.92
$175.08,116998900,$172.125,$175.96,$170.7
$171.18,120405400,$169.08,$171.58,$168.34
$165.32,107497000,$164.29,$167.8799,$164.28
$161.84,118023100,$164.02,$164.96,$159.72
$163.76,136739200,$158.735,$164.2,$157.8
$164.77,152423000,$167.48,$170.3,$164.53
$165.3,174048100,$159.985,$165.52,$159.92
$160.24,88748220,$159.37,$161.19,$158.7901
$156.81,76959750,$159.565,$160.45,$156.36
$161.94,69463620,$160.75,$162.14,$159.64
$161.41,96041900,$161.12,$161.8,$159.0601
$161.02,117467900,$161.68,$165.7,$161
$160.55,117305600,$157.65,$161.02,$156.5328
$157.87,137827700,$153.71,$158.67,$153.05
$153.49,88807000,$150.995,$155,$150.99
$151,59256210,$149.94,$151.488,$149.34
$150,59222800,$150.37,$151.88,$149.43
$149.99,63804010,$148.43,$150.4,$147.48
$147.87,40999950,$148.96,$149.43,$147.681
$147.92,65187090,$150.02,$150.13,$147.85
$150.81,56787930,$150.2,$151.428,$150.0601
$150.44,55020870,$151.41,$151.57,$150.16
$151.28,65463880,$151.89,$152.2,$150.06
$150.96,60394620,$151.58,$152.43,$150.64
$151.49,54511530,$150.39,$151.97,$149.82
$150.02,69121990,$148.66,$151.57,$148.65
$148.96,74588260,$148.985,$149.7,$147.8
$149.8,124953200,$147.215,$149.94,$146.4128
$152.57,100077900,$149.82,$153.165,$149.72
$148.85,56094930,$149.36,$149.73,$148.49
$149.32,60893400,$149.33,$150.84,$149.0101
$148.64,50720560,$148.68,$149.37,$147.6211
$148.69,58883440,$149.69,$150.18,$148.64
$149.48,61420990,$148.81,$149.64,$147.87
$149.26,58418790,$148.7,$149.7539,$148.12
$148.76,76378890,$147.01,$149.17,$146.55
$146.55,85589180,$143.445,$146.84,$143.16
$144.84,67940330,$143.77,$144.895,$143.51
$143.76,69907100,$142.11,$143.88,$141.51
$140.91,78762720,$141.235,$141.4,$139.2
